Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OP484663,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI340,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197139,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI340, complete genome"
OP484668,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI347,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197139,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI347, complete genome"
OP484671,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI350,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197139,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI350, complete genome"
OP484672,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI351,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197140,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI351, complete genome"
OP484673,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI352,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,196226,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI352, complete genome"
OP484674,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI353,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197139,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI353, complete genome"
OP484675,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI354,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197139,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI354, complete genome"
OP484678,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI357,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197140,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI357, complete genome"
OP484681,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI360,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197139,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI360, complete genome"
OP484682,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI361,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197139,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI361, complete genome"
OP484683,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-09-21,MPXV/Germany/2022/RKI362,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197140,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-09,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI362, complete genome"
OP480404,Monkeypox virus,,"Deanhardt,B., Miller,M., Wang,J.R.","University of North Carolina at Chapel Hill, Department of Genetics",USA,2022-09-20,hMPXV/USA/NC-UNC-0003/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197200,GenBank,complete,,,,USA: North Carolina,USA,NC,Homo sapiens,,2022-08-04,,PRJNA878833,"Monkeypox virus isolate hMPXV/USA/NC-UNC-0003/2022, partial genome"
OP442936,Monkeypox virus,SRR21236090,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-09-15,MpxV/human/USA/OH-UW-070197/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197175,GenBank,complete,,,,USA: OH,USA,OH,Homo sapiens,,2022-07,SAMN30526450,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/OH-UW-070197/2022, complete genome"
OP442937,Monkeypox virus,SRR20913441,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-09-15,MpxV/human/USA/OH-UW-070832/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197170,GenBank,complete,,,,USA: OH,USA,OH,Homo sapiens,,2022-07,SAMN30174645,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/OH-UW-070832/2022, complete genome"
OP442938,Monkeypox virus,SRR21598457,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-09-15,MpxV/human/USA/OH-UW-071048/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197177,GenBank,complete,,,,USA: OH,USA,OH,Homo sapiens,,2022-07,SAMN30879562,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/OH-UW-071048/2022, complete genome"
OP442941,Monkeypox virus,SRR21236117,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-09-15,MpxV/human/USA/WA-UW-082488/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197178,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-08,SAMN30526425,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-082488/2022, complete genome"
OP442942,Monkeypox virus,SRR21236107,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-09-15,MpxV/human/USA/WA-UW-084331/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197178,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-08,SAMN30526434,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-084331/2022, complete genome"
OX336004,Monkeypox virus,ERR10187618,,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,2022-09-15,RNA,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197108,GenBank,complete,,,,Slovakia,Slovakia,,Homo sapiens,,2022-08-26,SAMEA111352685,PRJEB54914,"Monkeypox virus isolate RNA genome assembly, complete genome: monopartite"
OX336038,Monkeypox virus,ERR10187619,,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,2022-09-15,RNA,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197114,GenBank,complete,,,,Slovakia,Slovakia,,Homo sapiens,,2022-08-31,SAMEA111352686,PRJEB54914,"Monkeypox virus isolate RNA genome assembly, complete genome: monopartite"
OP431829,Monkeypox virus,,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",USA,2022-09-14,MPXV22/human/USA-NE-199,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197199,GenBank,complete,,,,USA: Nebraska,USA,NE,Homo sapiens,,2022-08-20,,,"Monkeypox virus isolate MPXV22/human/USA-NE-199, complete genome"
OP434519,Monkeypox virus,SRR20913436,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-09-14,MpxV/human/USA/WA-UW-074978/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,190293,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30174639,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-074978/2022, complete genome"
OP422340,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-09-13,hMPXV/Austria/MUW1533948/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197204,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-07-13,,,"Monkeypox virus isolate hMPXV/Austria/MUW1533948/2022, complete genome"
OP422341,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-09-13,hMPXV/Austria/MUW1538395/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-08-01,,,"Monkeypox virus isolate hMPXV/Austria/MUW1538395/2022, complete genome"
OP422342,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-09-13,hMPXV/Austria/MUW1539124/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197204,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-08-02,,,"Monkeypox virus isolate hMPXV/Austria/MUW1539124/2022, complete genome"
OP422343,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-09-13,hMPXV/Austria/MUW1540386/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197204,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-08-08,,,"Monkeypox virus isolate hMPXV/Austria/MUW1540386/2022, complete genome"
OP413713,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,9000231,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate 9000231, complete genome"
OP413714,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,9000289,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197202,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate 9000289, complete genome"
OP413715,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,9000327,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate 9000327, complete genome"
OP413716,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,9000351,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate 9000351, complete genome"
OP413717,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,9000353,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate 9000353, complete genome"
OP415182,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_Yob5K4_9000201,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_Yob5K4_9000201, complete genome"
OP415183,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_Yob5K4_9000202,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_Yob5K4_9000202, complete genome"
OP415186,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_cmjxZM_9000205,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-06,,,"Monkeypox virus isolate MPX_cmjxZM_9000205, complete genome"
OP415197,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_2v76E1_9000221,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_2v76E1_9000221, complete genome"
OP415198,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_2v76E1_9000222,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_2v76E1_9000222, complete genome"
OP415199,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_K1dQNt_9000223,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,oronasopharynx,2022-07,,,"Monkeypox virus isolate MPX_K1dQNt_9000223, complete genome"
OP415200,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_K1dQNt_9000224,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_K1dQNt_9000224, complete genome"
OP415201,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_K1dQNt_9000225,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_K1dQNt_9000225, complete genome"
OP415202,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_fZLVcc_9000227,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,feces,2022-07,,,"Monkeypox virus isolate MPX_fZLVcc_9000227, complete genome"
OP415205,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_TcUINH_9000230,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_TcUINH_9000230, complete genome"
OP415207,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_BhVKjm_9000233,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197208,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,"skin, lesion",2022-07,,,"Monkeypox virus isolate MPX_BhVKjm_9000233, complete genome"
OP415208,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_Fap1fz_9000234,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197203,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_Fap1fz_9000234, complete genome"
OP415209,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_Fap1fz_9000235,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_Fap1fz_9000235, complete genome"
OP415210,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_KMgssq_9000236,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_KMgssq_9000236, complete genome"
OP415211,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_KMgssq_9000237,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_KMgssq_9000237, complete genome"
OP415212,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_UbfBKN_9000238,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_UbfBKN_9000238, complete genome"
OP415214,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_42KDT6_9000240,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_42KDT6_9000240, complete genome"
OP415215,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_42KDT6_9000241,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,lesion,2022-08,,,"Monkeypox virus isolate MPX_42KDT6_9000241, complete genome"
OP415216,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_OXSHAI_9000245,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_OXSHAI_9000245, complete genome"
OP415218,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_V5dRAI_9000247,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPX_V5dRAI_9000247, complete genome"
OP415219,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_AooXJI_9000248,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate MPX_AooXJI_9000248, complete genome"
OP415221,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_diQWGf_9000250,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate MPX_diQWGf_9000250, complete genome"
OP415222,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_12DvO8_9000251,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate MPX_12DvO8_9000251, complete genome"
OP415223,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_jpMpSR_9000252,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate MPX_jpMpSR_9000252, complete genome"
OP415226,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_k9tr7U_9000256,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197202,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate MPX_k9tr7U_9000256, complete genome"
OP415228,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_UBm6ar_9000259,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,feces,2022-08,,,"Monkeypox virus isolate MPX_UBm6ar_9000259, complete genome"
OP415231,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_8gbW2X_9000262,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197179,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate MPX_8gbW2X_9000262, complete genome"
OP415233,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_qQzToC_9000264,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,skin,2022-08,,,"Monkeypox virus isolate MPX_qQzToC_9000264, complete genome"
OP415237,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_oJ2Z6R_9000271,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate MPX_oJ2Z6R_9000271, complete genome"
OP415238,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_GGr0lD_9000276,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197207,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate MPX_GGr0lD_9000276, complete genome"
OP415239,Monkeypox virus,,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",,2022-09-12,MPX_cAC1lu_9000277,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,United Kingdom,United Kingdom,,Homo sapiens,,2022-08,,,"Monkeypox virus isolate MPX_cAC1lu_9000277, complete genome"
